date,state,value,location
2025-01-11,GA,240,13
2024-11-09,HI,22,15
2024-11-16,HI,20,15
2024-11-23,HI,13,15
2024-11-30,HI,10,15
2024-12-07,HI,15,15
2024-12-14,HI,13,15
2024-12-21,HI,13,15
2024-12-28,HI,9,15
2025-01-04,HI,3,15
2025-01-11,HI,15,15
2024-11-09,IA,50,19
2024-11-16,IA,43,19
2024-11-23,IA,55,19
2024-11-30,IA,54,19
2024-12-07,IA,87,19
2024-12-14,IA,84,19
2024-12-21,IA,84,19
2024-12-28,IA,127,19
2025-01-04,IA,169,19
2025-01-11,IA,147,19
2024-11-09,ID,35,16
2024-11-16,ID,22,16
2024-11-23,ID,21,16
2024-11-30,ID,23,16
2024-12-07,ID,33,16
2024-12-14,ID,45,16
2024-12-21,ID,35,16
2024-12-28,ID,56,16
2025-01-04,ID,56,16
2025-01-11,ID,46,16
2024-11-09,IL,233,17
2024-11-16,IL,219,17
2024-11-23,IL,256,17
2024-11-30,IL,274,17
2024-12-07,IL,326,17
2024-12-14,IL,437,17
2024-12-21,IL,551,17
2024-12-28,IL,800,17
2025-01-04,IL,1092,17
2025-01-11,IL,773,17
2024-11-09,IN,185,18
2024-11-16,IN,145,18
2024-11-23,IN,166,18
2024-11-30,IN,156,18
2024-12-07,IN,257,18
2024-12-14,IN,313,18
2024-12-21,IN,392,18
2024-12-28,IN,548,18
2025-01-04,IN,661,18
2025-01-11,IN,522,18
2024-11-09,KS,62,20
2024-11-16,KS,47,20
2024-11-23,KS,59,20
2024-11-30,KS,50,20
2024-12-07,KS,94,20
2024-12-14,KS,90,20
2024-12-21,KS,132,20
2024-12-28,KS,196,20
2025-01-04,KS,220,20
2025-01-11,KS,149,20
2024-11-09,KY,128,21
2024-11-16,KY,102,21
2024-11-23,KY,100,21
2024-11-30,KY,96,21
2024-12-07,KY,137,21
2024-12-14,KY,165,21
2024-12-21,KY,216,21
2024-12-28,KY,282,21
2025-01-04,KY,431,21
2025-01-11,KY,211,21
2024-11-09,LA,78,22
2024-11-16,LA,67,22
2024-11-23,LA,68,22
2024-11-30,LA,64,22
2024-12-07,LA,80,22
2024-12-14,LA,104,22
2024-12-21,LA,110,22
2024-12-28,LA,137,22
2025-01-04,LA,175,22
2025-01-11,LA,161,22
2024-11-09,MA,234,25
2024-11-16,MA,296,25
2024-11-23,MA,368,25
2024-11-30,MA,368,25
2024-12-07,MA,447,25
2024-12-14,MA,425,25
2024-12-21,MA,385,25
2024-12-28,MA,375,25
2025-01-04,MA,596,25
2025-01-11,MA,518,25
2024-11-09,MD,99,24
2024-11-16,MD,69,24
2024-11-23,MD,87,24
2024-11-30,MD,76,24
2024-12-07,MD,86,24
2024-12-14,MD,88,24
2024-12-21,MD,112,24
2024-12-28,MD,142,24
2025-01-04,MD,302,24
2025-01-11,MD,204,24
2024-11-09,ME,36,23
2024-11-16,ME,25,23
2024-11-23,ME,21,23
2024-11-30,ME,25,23
2024-12-07,ME,20,23
2024-12-14,ME,33,23
2024-12-21,ME,28,23
2024-12-28,ME,50,23
2025-01-04,ME,93,23
2025-01-11,ME,92,23
2024-11-09,MI,632,26
2024-11-16,MI,653,26
2024-11-23,MI,465,26
2024-11-30,MI,597,26
2024-12-07,MI,589,26
2024-12-14,MI,689,26
2024-12-21,MI,445,26
2024-12-28,MI,739,26
2025-01-04,MI,908,26
2025-01-11,MI,737,26
2024-11-09,MN,204,27
2024-11-16,MN,193,27
2024-11-23,MN,225,27
2024-11-30,MN,183,27
2024-12-07,MN,270,27
2024-12-14,MN,347,27
2024-12-21,MN,404,27
2024-12-28,MN,478,27
2025-01-04,MN,663,27
2025-01-11,MN,580,27
2024-11-09,MO,153,29
2024-11-16,MO,150,29
2024-11-23,MO,175,29
2024-11-30,MO,166,29
2024-12-07,MO,192,29
2024-12-14,MO,243,29
2024-12-21,MO,255,29
2024-12-28,MO,391,29
2025-01-04,MO,463,29
2025-01-11,MO,263,29
2024-11-09,MS,38,28
2024-11-16,MS,37,28
2024-11-23,MS,50,28
2024-11-30,MS,33,28
2024-12-07,MS,54,28
2024-12-14,MS,67,28
2024-12-21,MS,47,28
2024-12-28,MS,70,28
2025-01-04,MS,126,28
2025-01-11,MS,79,28
2024-11-09,MT,18,30
2024-11-16,MT,22,30
2024-11-23,MT,26,30
2024-11-30,MT,17,30
2024-12-07,MT,40,30
2024-12-14,MT,28,30
2024-12-21,MT,18,30
2024-12-28,MT,40,30
2025-01-04,MT,34,30
2025-01-11,MT,34,30
2024-11-09,NC,201,37
2024-11-16,NC,188,37
2024-11-23,NC,162,37
2024-11-30,NC,149,37
2024-12-07,NC,178,37
2024-12-14,NC,232,37
2024-12-21,NC,256,37
2024-12-28,NC,362,37
2025-01-04,NC,478,37
2025-01-11,NC,357,37
2024-11-09,ND,15,38
2024-11-16,ND,11,38
2024-11-23,ND,19,38
2024-11-30,ND,24,38
2024-12-07,ND,17,38
2024-12-14,ND,11,38
2024-12-21,ND,25,38
2024-12-28,ND,30,38
2025-01-04,ND,38,38
2025-01-11,ND,35,38
2024-11-09,NE,32,31
2024-11-16,NE,39,31
2024-11-23,NE,36,31
2024-11-30,NE,42,31
2024-12-07,NE,78,31
2024-12-14,NE,66,31
2024-12-21,NE,69,31
2024-12-28,NE,94,31
2025-01-04,NE,100,31
2025-01-11,NE,91,31
2024-11-09,NH,55,33
2024-11-16,NH,58,33
2024-11-23,NH,20,33
2024-11-30,NH,44,33
2024-12-07,NH,67,33
2024-12-14,NH,68,33
2024-12-21,NH,56,33
2024-12-28,NH,89,33
2025-01-04,NH,251,33
2025-01-11,NH,80,33
2024-11-09,NJ,186,34
2024-11-16,NJ,193,34
2024-11-23,NJ,210,34
2024-11-30,NJ,187,34
2024-12-07,NJ,188,34
2024-12-14,NJ,241,34
2024-12-21,NJ,300,34
2024-12-28,NJ,425,34
2025-01-04,NJ,649,34
2025-01-11,NJ,477,34
2024-11-09,NM,91,35
2024-11-16,NM,82,35
2024-11-23,NM,116,35
2024-11-30,NM,123,35
2024-12-07,NM,127,35
2024-12-14,NM,144,35
2024-12-21,NM,129,35
2024-12-28,NM,141,35
2025-01-04,NM,152,35
2025-01-11,NM,117,35
2024-11-09,NV,47,32
2024-11-16,NV,57,32
2024-11-23,NV,31,32
2024-11-30,NV,64,32
2024-12-07,NV,45,32
2024-12-14,NV,48,32
2024-12-21,NV,70,32
2024-12-28,NV,45,32
2025-01-04,NV,61,32
2025-01-11,NV,64,32
2024-11-09,NY,423,36
2024-11-16,NY,390,36
2024-11-23,NY,405,36
2024-11-30,NY,366,36
2024-12-07,NY,450,36
2024-12-14,NY,497,36
2024-12-21,NY,625,36
2024-12-28,NY,715,36
2025-01-04,NY,1011,36
2025-01-11,NY,878,36
2024-11-09,OH,400,39
2024-11-16,OH,341,39
2024-11-23,OH,326,39
2024-11-30,OH,335,39
2024-12-07,OH,385,39
2024-12-14,OH,530,39
2024-12-21,OH,688,39
2024-12-28,OH,855,39
2025-01-04,OH,1391,39
2025-01-11,OH,864,39
2024-11-09,OK,63,40
2024-11-16,OK,73,40
2024-11-23,OK,71,40
2024-11-30,OK,105,40
2024-12-07,OK,145,40
2024-12-14,OK,158,40
2024-12-21,OK,166,40
2024-12-28,OK,237,40
2025-01-04,OK,267,40
2025-01-11,OK,142,40
2024-11-09,OR,78,41
2024-11-16,OR,73,41
2024-11-23,OR,57,41
2024-11-30,OR,48,41
2024-12-07,OR,57,41
2024-12-14,OR,68,41
2024-12-21,OR,71,41
2024-12-28,OR,84,41
2025-01-04,OR,122,41
2025-01-11,OR,77,41
2024-11-09,PA,907,42
2024-11-16,PA,1021,42
2024-11-23,PA,1032,42
2024-11-30,PA,640,42
2024-12-07,PA,642,42
2024-12-14,PA,712,42
2024-12-21,PA,574,42
2024-12-28,PA,1141,42
2025-01-04,PA,1313,42
2025-01-11,PA,1428,42
2024-11-09,PR,10,72
2024-11-16,PR,28,72
2024-11-23,PR,24,72
2024-11-30,PR,78,72
2024-12-07,PR,107,72
2024-12-14,PR,86,72
2024-12-21,PR,116,72
2024-12-28,PR,11,72
2025-01-04,PR,162,72
2025-01-11,PR,179,72
2024-11-09,RI,29,44
2024-11-16,RI,21,44
2024-11-23,RI,30,44
2024-11-30,RI,21,44
2024-12-07,RI,40,44
2024-12-14,RI,50,44
2024-12-21,RI,41,44
2024-12-28,RI,63,44
2025-01-04,RI,83,44
2025-01-11,RI,73,44
2024-11-09,SC,77,45
2024-11-16,SC,69,45
2024-11-23,SC,72,45
2024-11-30,SC,67,45
2024-12-07,SC,75,45
2024-12-14,SC,85,45
2024-12-21,SC,132,45
2024-12-28,SC,168,45
2025-01-04,SC,218,45
2025-01-11,SC,173,45
2024-11-09,SD,30,46
2024-11-16,SD,36,46
2024-11-23,SD,31,46
2024-11-30,SD,19,46
2024-12-07,SD,24,46
2024-12-14,SD,43,46
2024-12-21,SD,25,46
2024-12-28,SD,46,46
2025-01-04,SD,55,46
2025-01-11,SD,42,46
2024-11-09,TN,122,47
2024-11-16,TN,161,47
2024-11-23,TN,99,47
2024-11-30,TN,143,47
2024-12-07,TN,143,47
2024-12-14,TN,195,47
2024-12-21,TN,176,47
2024-12-28,TN,229,47
2025-01-04,TN,351,47
2025-01-11,TN,242,47
2024-11-09,TX,346,48
2024-11-16,TX,231,48
2024-11-23,TX,261,48
2024-11-30,TX,285,48
2024-12-07,TX,395,48
2024-12-14,TX,368,48
2024-12-21,TX,454,48
2024-12-28,TX,579,48
2025-01-04,TX,711,48
2025-01-11,TX,570,48
2024-11-09,US,7994,US
2024-11-16,US,7867,US
2024-11-23,US,7951,US
2024-11-30,US,7790,US
2024-12-07,US,8993,US
2024-12-14,US,10014,US
2024-12-21,US,10736,US
2024-12-28,US,14171,US
2025-01-04,US,18499,US
2025-01-11,US,14397,US
2024-11-09,UT,43,49
2024-11-16,UT,47,49
2024-11-23,UT,64,49
2024-11-30,UT,59,49
2024-12-07,UT,62,49
2024-12-14,UT,55,49
2024-12-21,UT,65,49
2024-12-28,UT,97,49
2025-01-04,UT,96,49
2025-01-11,UT,71,49
2024-11-09,VA,126,51
2024-11-16,VA,104,51
2024-11-23,VA,120,51
2024-11-30,VA,107,51
2024-12-07,VA,134,51
2024-12-14,VA,185,51
2024-12-21,VA,188,51
2024-12-28,VA,278,51
2025-01-04,VA,413,51
2025-01-11,VA,260,51
2024-11-09,VT,21,50
2024-11-16,VT,11,50
2024-11-23,VT,21,50
2024-11-30,VT,12,50
2024-12-07,VT,20,50
2024-12-14,VT,16,50
2024-12-21,VT,9,50
2024-12-28,VT,31,50
2025-01-04,VT,34,50
2025-01-11,VT,25,50
2024-11-09,WA,97,53
2024-11-16,WA,83,53
2024-11-23,WA,89,53
2024-11-30,WA,78,53
2024-12-07,WA,56,53
2024-12-14,WA,74,53
2024-12-21,WA,85,53
2024-12-28,WA,115,53
2025-01-04,WA,145,53
2025-01-11,WA,101,53
2024-11-09,WI,158,55
2024-11-16,WI,149,55
2024-11-23,WI,152,55
2024-11-30,WI,136,55
2024-12-07,WI,192,55
2024-12-14,WI,231,55
2024-12-21,WI,288,55
2024-12-28,WI,405,55
2025-01-04,WI,522,55
2025-01-11,WI,402,55
2024-11-09,WV,62,54
2024-11-16,WV,64,54
2024-11-23,WV,146,54
2024-11-30,WV,147,54
2024-12-07,WV,92,54
2024-12-14,WV,156,54
2024-12-21,WV,102,54
2024-12-28,WV,143,54
2025-01-04,WV,181,54
2025-01-11,WV,141,54
2024-11-09,WY,61,56
2024-11-16,WY,48,56
2024-11-23,WY,31,56
2024-11-30,WY,47,56
2024-12-07,WY,42,56
2024-12-14,WY,55,56
2024-12-21,WY,35,56
2024-12-28,WY,93,56
2025-01-04,WY,48,56
2025-01-11,WY,47,56
